,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Age,Height,Weight,Number of siblings,Gender_female,Gender_male,Left - right handed_left handed,Left - right handed_right handed,Education_college/bachelor degree,Education_currently a primary school pupil,Education_doctorate degree,Education_masters degree,Education_primary school,Education_secondary school,Only child_no,Only child_yes,Village - town_city,Village - town_village,House - block of flats_block of flats,House - block of flats_house/bungalow,cluster_label
22,1.0,1.0,2.0,4.0,4.0,4,3.0,4.0,1.0,2.0,20.0,187.0,80.0,2.0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
23,3.0,3.0,4.0,5.0,5.0,5,5.0,5.0,5.0,3.0,19.0,168.0,60.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,2
24,1.0,1.0,1.0,3.0,5.0,3,3.0,4.0,3.0,4.0,25.0,183.0,87.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
25,1.0,1.0,1.0,1.0,2.0,5,3.0,1.0,3.0,2.0,22.0,177.0,80.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4
26,3.0,5.0,5.0,5.0,5.0,5,5.0,1.0,5.0,2.0,20.0,158.0,46.0,4.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,6
27,1.0,5.0,2.0,4.0,4.0,5,3.0,1.0,2.0,4.0,27.0,170.0,70.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
28,1.0,2.0,2.0,1.0,2.0,2,2.0,1.0,2.0,3.0,20.0,177.0,67.0,5.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5
29,3.0,5.0,3.0,3.0,4.0,5,4.0,5.0,5.0,1.0,19.0,170.0,72.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1
30,3.0,1.0,4.0,3.0,5.0,4,1.0,3.0,2.0,5.0,18.0,173.0,65.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,5
31,3.0,4.0,2.0,4.0,5.0,1,1.0,1.0,3.0,2.0,23.0,168.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2
32,3.0,3.0,2.0,2.0,5.0,5,5.0,3.0,4.0,4.0,21.0,155.0,46.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,6
33,1.0,3.0,5.0,3.0,5.0,2,5.0,3.0,5.0,3.0,26.0,172.0,62.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,5
34,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,20.0,188.0,80.0,3.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
35,1.0,1.0,3.0,1.0,5.0,1,1.0,1.0,3.0,5.0,19.0,170.0,90.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
36,1.0,3.0,4.0,5.0,5.0,5,3.0,2.0,4.0,1.0,20.0,163.0,55.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,6
37,3.0,2.0,4.0,5.0,5.0,5,3.0,3.0,5.0,3.0,25.0,170.0,67.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1
38,3.0,1.0,2.0,2.0,2.0,3,3.0,5.0,3.0,1.0,20.0,171.0,70.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1
39,3.0,1.0,5.0,4.0,5.0,3,2.0,3.0,2.0,5.0,20.0,157.0,41.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,6
40,1.0,2.0,1.0,2.0,2.0,2,4.0,2.0,5.0,4.0,19.0,175.0,60.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5
41,3.0,3.0,5.0,4.0,5.0,5,4.0,3.0,1.0,3.0,21.0,160.0,58.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,6
42,3.0,1.0,1.0,1.0,5.0,1,3.0,1.0,3.0,5.0,18.0,164.0,51.0,4.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,6
43,3.0,2.0,5.0,5.0,3.0,5,4.0,1.0,5.0,2.0,21.0,160.0,57.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,6
44,2.0,2.0,5.0,3.0,5.0,5,5.0,3.0,5.0,4.0,23.0,165.0,45.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,6
45,2.0,2.0,2.0,2.0,5.0,3,3.0,4.0,4.0,5.0,21.0,157.0,45.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,6
46,5.0,1.0,1.0,4.0,2.0,3,1.0,1.0,2.0,5.0,22.0,178.0,74.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4
47,1.0,1.0,1.0,2.0,2.0,3,2.0,2.0,3.0,5.0,23.0,175.0,72.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4
48,1.0,1.0,1.0,3.0,3.0,4,4.0,4.0,4.0,2.0,23.0,165.0,56.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,2
49,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,4.0,23.0,189.0,81.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
50,1.0,2.0,5.0,3.0,5.0,1,3.0,5.0,4.0,3.0,18.0,180.0,52.0,0.0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,5
51,1.0,1.0,2.0,2.0,1.0,2,1.0,4.0,2.0,4.0,17.0,185.0,84.0,1.0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0
52,3.0,2.0,3.0,5.0,1.0,3,2.0,1.0,1.0,3.0,20.0,183.0,83.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
53,1.0,1.0,2.0,4.0,1.0,3,2.0,2.0,5.0,2.0,24.0,160.0,58.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,6
54,3.0,5.0,2.0,2.0,4.0,5,3.0,1.0,3.0,5.0,18.0,162.0,50.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,6
55,2.0,2.0,2.0,2.0,4.0,3,3.0,3.0,4.0,3.0,17.0,185.0,82.0,1.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
56,1.0,1.0,1.0,4.0,3.0,4,3.0,5.0,5.0,1.0,20.0,175.0,83.0,1.0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,4
57,5.0,2.0,1.0,3.0,3.0,3,3.0,5.0,3.0,5.0,21.0,177.0,80.0,1.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,4
58,5.0,5.0,1.0,4.0,3.0,4,3.0,3.0,5.0,2.0,22.0,190.0,80.0,1.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
59,2.0,1.0,2.0,5.0,1.0,2,1.0,1.0,2.0,1.0,20.0,192.0,77.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
60,1.0,1.0,1.0,3.0,5.0,5,2.0,2.0,5.0,3.0,21.0,175.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,5
61,2.0,3.0,2.0,4.0,5.0,5,5.0,2.0,3.0,4.0,21.0,173.0,63.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,5
62,2.0,1.0,4.0,2.0,3.0,4,3.0,1.0,3.0,4.0,19.0,163.0,48.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,6
63,1.0,1.0,2.0,2.0,1.0,1,1.0,1.0,4.0,1.0,22.0,177.0,80.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4
64,2.0,1.0,5.0,2.0,3.0,4,1.0,1.0,3.0,5.0,18.0,163.0,47.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,6
65,2.0,3.0,4.0,5.0,2.0,4,4.0,1.0,4.0,3.0,22.0,159.0,53.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,6
66,4.0,4.0,4.0,4.0,2.0,2,3.0,3.0,1.0,5.0,24.0,179.0,65.0,3.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,5
67,5.0,2.0,2.0,4.0,5.0,1,2.0,1.0,5.0,5.0,21.0,164.0,75.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1
68,3.0,3.0,2.0,3.0,2.0,3,5.0,4.0,5.0,3.0,22.0,156.0,50.0,2.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,6
69,2.0,3.0,1.0,3.0,5.0,3,1.0,5.0,4.0,3.0,19.0,154.0,58.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,6
70,2.0,1.0,2.0,1.0,1.0,2,1.0,1.0,2.0,2.0,19.0,170.0,63.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1
71,1.0,2.0,2.0,1.0,4.0,4,4.0,4.0,5.0,2.0,21.0,180.0,75.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,4
72,1.0,1.0,1.0,2.0,4.0,1,1.0,1.0,5.0,5.0,19.0,182.0,81.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4
73,1.0,1.0,2.0,3.0,2.0,4,1.0,1.0,1.0,2.0,19.0,200.0,75.0,1.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0
74,1.0,1.0,1.0,3.0,5.0,1,1.0,3.0,3.0,1.0,22.0,187.0,70.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,4
75,2.0,2.0,3.0,3.0,5.0,2,1.0,2.0,2.0,4.0,18.0,162.0,50.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,6
76,3.0,4.0,3.0,5.0,4.0,3,3.0,1.0,5.0,3.0,21.0,172.0,71.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1
77,2.0,1.0,1.0,2.0,5.0,5,3.0,1.0,3.0,3.0,18.0,194.0,90.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
78,1.0,1.0,1.0,3.0,1.0,1,1.0,1.0,1.0,1.0,21.0,180.0,70.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,4
79,1.0,2.0,1.0,2.0,1.0,4,2.0,1.0,2.0,2.0,24.0,178.0,74.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,4
80,2.0,1.0,1.0,1.0,2.0,2,2.0,3.0,2.0,3.0,19.0,182.0,80.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4
81,1.0,1.0,2.0,4.0,5.0,3,2.0,5.0,4.0,2.0,17.0,168.0,61.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,2
82,3.0,1.0,3.0,2.0,1.0,4,4.0,1.0,3.0,4.0,18.0,176.0,65.0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,5
83,1.0,1.0,2.0,4.0,4.0,4,1.0,2.0,1.0,2.0,21.0,185.0,70.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,4
84,2.0,2.0,2.0,3.0,5.0,4,5.0,1.0,5.0,5.0,22.0,166.0,56.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,2
85,2.0,4.0,3.0,1.0,4.0,4,1.0,2.0,3.0,3.0,20.0,163.0,54.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,6
86,1.0,1.0,2.0,2.0,5.0,5,1.0,3.0,5.0,5.0,19.0,163.0,54.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,6
87,4.0,2.0,5.0,5.0,5.0,5,1.0,3.0,5.0,4.0,21.0,169.0,61.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2
88,3.0,1.0,2.0,4.0,3.0,5,3.0,2.0,2.0,4.0,18.0,165.0,55.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2
89,2.0,1.0,1.0,1.0,2.0,1,1.0,2.0,1.0,3.0,23.0,175.0,60.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5
90,4.0,2.0,1.0,2.0,2.0,4,1.0,1.0,2.0,3.0,16.0,161.0,54.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,6
91,1.0,1.0,2.0,1.0,1.0,4,4.0,1.0,1.0,2.0,23.0,188.0,90.0,0.0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
92,1.0,1.0,1.0,2.0,1.0,2,3.0,2.0,3.0,3.0,21.0,180.0,85.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
93,4.0,2.0,1.0,2.0,2.0,4,3.0,2.0,2.0,2.0,23.0,156.0,56.0,0.0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,6
94,2.0,2.0,1.0,1.0,1.0,1,1.0,3.0,2.0,4.0,20.0,172.0,80.0,0.0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,4
95,3.0,2.0,2.0,2.0,4.0,3,2.0,4.0,4.0,3.0,20.0,157.0,54.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,6
96,4.0,3.0,5.0,4.0,1.0,4,4.0,4.0,5.0,3.0,20.0,163.0,56.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2
97,1.0,2.0,2.0,2.0,2.0,2,2.0,4.0,2.0,2.0,19.0,177.0,64.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,5
98,1.0,1.0,1.0,3.0,1.0,1,1.0,5.0,5.0,5.0,15.0,173.0,49.0,3.0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,2
99,2.0,4.0,4.0,2.0,2.0,1,2.0,3.0,1.0,3.0,20.0,178.0,75.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,4
100,1.0,2.0,3.0,4.0,2.0,2,3.0,1.0,4.0,2.0,18.0,193.0,103.0,2.0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,3
101,1.0,1.0,2.0,1.0,5.0,3,5.0,3.0,1.0,4.0,15.0,170.0,51.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,2
102,3.0,3.0,5.0,4.0,4.0,4,2.0,2.0,3.0,2.0,20.0,170.0,50.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,2
103,3.0,3.0,3.0,3.0,5.0,3,1.0,5.0,5.0,5.0,16.0,170.0,59.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,2
104,4.0,4.0,5.0,5.0,5.0,2,1.0,3.0,1.0,1.0,18.0,185.0,62.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,5
105,1.0,1.0,2.0,4.0,5.0,3,1.0,1.0,3.0,2.0,21.0,185.0,90.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
106,4.0,4.0,4.0,4.0,3.0,5,5.0,4.0,5.0,2.0,19.0,168.0,53.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,2
107,1.0,2.0,4.0,5.0,1.0,3,1.0,5.0,3.0,1.0,19.0,170.0,65.0,1.0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1
108,1.0,1.0,1.0,2.0,2.0,2,2.0,3.0,3.0,4.0,18.0,185.0,83.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
109,1.0,2.0,2.0,3.0,2.0,3,2.0,2.0,4.0,3.0,20.0,165.0,55.0,3.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2
110,2.0,1.0,2.0,1.0,5.0,2,1.0,3.0,3.0,3.0,22.0,177.0,61.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,5
111,3.0,2.0,1.0,4.0,3.0,3,4.0,2.0,2.0,4.0,20.0,180.0,100.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
112,5.0,1.0,3.0,3.0,2.0,3,3.0,5.0,4.0,1.0,25.0,170.0,72.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1
113,1.0,1.0,2.0,2.0,5.0,3,2.0,3.0,1.0,3.0,24.0,185.0,81.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
114,1.0,1.0,5.0,1.0,2.0,1,5.0,3.0,1.0,3.0,19.0,171.0,72.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1
115,1.0,1.0,1.0,5.0,1.0,1,1.0,1.0,5.0,2.0,25.0,177.0,97.0,1.0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
116,1.0,1.0,1.0,1.0,2.0,2,2.0,2.0,5.0,2.0,26.0,175.0,60.0,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,5
117,3.0,3.0,2.0,1.0,5.0,2,2.0,3.0,5.0,4.0,15.0,160.0,48.0,2.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,6
118,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0,1.0,2.0,19.0,194.0,79.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
119,1.0,2.0,1.0,1.0,4.0,1,1.0,5.0,1.0,3.0,20.0,172.0,73.0,2.0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1
120,3.0,3.0,2.0,4.0,4.0,3,2.0,2.0,3.0,4.0,22.0,184.0,71.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4
121,3.0,2.0,2.0,4.0,4.0,4,5.0,4.0,4.0,4.0,20.0,168.0,60.0,1.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2
122,1.0,1.0,2.0,2.0,4.0,1,1.0,3.0,2.0,1.0,21.0,161.0,65.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1
123,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,1.0,20.0,180.0,71.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,4
124,1.0,2.0,1.0,1.0,5.0,3,1.0,1.0,1.0,3.0,19.0,157.0,57.0,2.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,6
125,1.0,1.0,1.0,1.0,1.0,1,1.0,3.0,1.0,1.0,20.0,180.0,72.0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,4
126,3.0,1.0,3.0,2.0,1.0,1,1.0,4.0,4.0,5.0,22.0,191.0,85.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
127,1.0,1.0,2.0,3.0,2.0,4,3.0,2.0,1.0,4.0,21.0,187.0,75.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4
128,2.0,1.0,4.0,1.0,3.0,5,1.0,4.0,2.0,3.0,17.0,163.0,61.0,2.0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2
129,2.0,2.0,2.0,4.0,2.0,1,1.0,5.0,3.0,3.0,20.0,160.0,50.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,6
130,2.0,2.0,4.0,2.0,5.0,1,1.0,3.0,5.0,2.0,22.0,182.0,75.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4
131,2.0,3.0,2.0,1.0,5.0,4,2.0,1.0,2.0,3.0,19.0,158.0,47.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,6
132,3.0,5.0,1.0,3.0,2.0,5,2.0,4.0,5.0,3.0,21.0,174.0,85.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,4
133,1.0,5.0,1.0,1.0,3.0,5,3.0,3.0,4.0,2.0,19.0,167.0,55.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2
134,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,4.0,3.0,22.0,183.0,80.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4
135,1.0,1.0,2.0,2.0,3.0,3,2.0,2.0,2.0,5.0,17.0,166.0,54.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,2
136,2.0,2.0,2.0,2.0,5.0,1,2.0,3.0,2.0,3.0,16.0,158.0,48.0,1.0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,6
137,2.0,1.0,2.0,1.0,5.0,1,1.0,4.0,1.0,3.0,18.0,158.0,65.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1
138,3.0,1.0,2.0,2.0,1.0,2,4.0,3.0,1.0,3.0,26.0,169.0,70.0,2.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1
139,2.0,1.0,1.0,2.0,3.0,3,4.0,2.0,3.0,1.0,19.0,183.0,78.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,4
140,1.0,2.0,3.0,4.0,5.0,5,1.0,3.0,5.0,3.0,19.0,185.0,70.0,1.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,4
141,2.0,2.0,3.0,2.0,4.0,5,4.0,2.0,4.0,3.0,20.0,169.0,64.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1
142,1.0,5.0,5.0,5.0,5.0,5,5.0,3.0,5.0,4.0,20.0,186.0,88.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
143,3.0,1.0,2.0,3.0,1.0,2,1.0,1.0,3.0,4.0,21.0,169.0,55.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2
144,1.0,1.0,1.0,4.0,2.0,2,2.0,4.0,4.0,5.0,19.0,163.0,50.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,6
145,2.0,1.0,1.0,1.0,4.0,3,1.0,2.0,3.0,4.0,24.0,169.0,51.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,2
146,3.0,2.0,4.0,5.0,1.0,1,1.0,1.0,3.0,4.0,19.0,160.0,53.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,6
147,3.0,2.0,1.0,2.0,3.0,3,3.0,2.0,2.0,1.0,25.0,184.0,85.0,3.0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
148,2.0,3.0,3.0,2.0,5.0,3,3.0,1.0,2.0,3.0,20.0,170.0,62.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1
149,1.0,5.0,5.0,2.0,5.0,4,4.0,4.0,1.0,2.0,19.0,170.0,60.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2
