cross validation  0
Initialized
Loss at step 0: 1.001784, train accuarcy : 0.349296
Loss at step 2200: 0.075127, train accuarcy : 0.923944
Loss at step 2400: 0.070417, train accuarcy : 0.923944
Loss at step 2600: 0.069070, train accuarcy : 0.943662
Loss at step 2800: 0.068938, train accuarcy : 0.926761
Loss at step 3000: 0.066235, train accuarcy : 0.938028
Loss at step 3200: 0.066090, train accuarcy : 0.918310
Loss at step 3400: 0.063317, train accuarcy : 0.901408
Loss at step 3600: 0.064399, train accuarcy : 0.938028
Loss at step 3800: 0.061580, train accuarcy : 0.926761
Loss at step 4000: 0.059883, train accuarcy : 0.946479
cross validation  4
Initialized
Loss at step 0: 0.662552, train accuarcy : 0.430986
Loss at step 200: 0.144827, train accuarcy : 0.791549
Loss at step 400: 0.123203, train accuarcy : 0.876056
Loss at step 600: 0.110742, train accuarcy : 0.861972
Loss at step 800: 0.100806, train accuarcy : 0.873239
Loss at step 1000: 0.096877, train accuarcy : 0.884507
Loss at step 1200: 0.084186, train accuarcy : 0.907042
Loss at step 1400: 0.083066, train accuarcy : 0.935211
Loss at step 1600: 0.085775, train accuarcy : 0.898592
Loss at step 1800: 0.080533, train accuarcy : 0.895775
Loss at step 2000: 0.072279, train accuarcy : 0.912676
Loss at step 2200: 0.073373, train accuarcy : 0.946479
Loss at step 2400: 0.072394, train accuarcy : 0.949296
Loss at step 2600: 0.071732, train accuarcy : 0.929577
Loss at step 2800: 0.069879, train accuarcy : 0.907042
Loss at step 3000: 0.064683, train accuarcy : 0.932394
Loss at step 3200: 0.068327, train accuarcy : 0.923944
Loss at step 3400: 0.061952, train accuarcy : 0.952113
Loss at step 3600: 0.062192, train accuarcy : 0.923944
Loss at step 3800: 0.061978, train accuarcy : 0.938028
Loss at step 4000: 0.058630, train accuarcy : 0.960563
cross validation  5
Initialized
Loss at step 0: 1.507989, train accuarcy : 0.200000
Loss at step 200: 0.184914, train accuarcy : 0.754930
Loss at step 400: 0.159750, train accuarcy : 0.836620
Loss at step 600: 0.136233, train accuarcy : 0.856338
Loss at step 800: 0.119903, train accuarcy : 0.864789
Loss at step 1000: 0.114560, train accuarcy : 0.907042
Loss at step 1200: 0.110898, train accuarcy : 0.873239
Loss at step 1400: 0.099081, train accuarcy : 0.915493
Loss at step 1600: 0.095280, train accuarcy : 0.887324
Loss at step 1800: 0.086488, train accuarcy : 0.909859
Loss at step 2000: 0.087447, train accuarcy : 0.915493
Loss at step 2200: 0.082313, train accuarcy : 0.938028
Loss at step 2400: 0.080628, train accuarcy : 0.915493
Loss at step 2600: 0.078551, train accuarcy : 0.923944
Loss at step 2800: 0.075279, train accuarcy : 0.940845
Loss at step 3000: 0.076449, train accuarcy : 0.929577
Loss at step 3200: 0.072200, train accuarcy : 0.938028
Loss at step 3400: 0.068985, train accuarcy : 0.921127
Loss at step 3600: 0.065125, train accuarcy : 0.946479
Loss at step 3800: 0.069082, train accuarcy : 0.918310
Loss at step 4000: 0.067990, train accuarcy : 0.918310
